PRIMARY_KEY,STATE,YEAR,ALTERNATIVE_KEY,ENROLL,,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,KINDERGARTEN_STUDENTS,KINDERGARTEN_TEACHERS,KINDERGARTEN_STUDENT_TEACHER_RATIO,ALL_STUDENTS,ALL_TEACHERS,ALL_STUDENT_TEACHER_RATIO,KINDERGARTEN_ALL_RATIO_DIFF,MEDIAN_INCOME,
1993_KENTUCKY,KENTUCKY,1993,1993_KENTUCKY,,,2381148,216900,1529326,634922,2283431,1247496,711873,151526,127578,15732,43340,48083,51306,37629,399494,184356,599582,,,,,46140,1326,34.79638009,655041,37868,17.29800887,-17.49837122,41829,37868
1993_LOUISIANA,LOUISIANA,1993,1993_LOUISIANA,,,3438321,397206,1876967,1164148,3427102,1898515,997974,262609,173012,12857,61133,60077,56522,39826,485035,202283,700175,,,,,61244,2925,20.93811966,797985,46904,17.01315453,-3.92496513,45152,46904
1993_MAINE,MAINE,1993,1993_MAINE,,,1368095,77440,652164,638491,1321846,809278,328664,67864,55490,1036,17536,17237,15844,13446,135445,59632,196113,,,,,17367,754,23.0331565,216453,15375,14.0782439,-8.954912596,47084,15375
1993_MARYLAND,MARYLAND,1993,1993_MARYLAND,,,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147,324925,17984,60378,61199,55285,40661,484461,197072,699517,,,,,59641,1458,40.90603567,751850,44495,16.8974042,-24.00863146,68536,44495
1993_MASSACHUSETTS,MASSACHUSETTS,1993,1993_MASSACHUSETTS,,,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641,59238,13178,76494,69111,62412,51309,548850,232208,794236,,,,,75159,1377,54.58169935,859948,57225,15.02748799,-39.55421136,63602,57225
1993_MICHIGAN,MICHIGAN,1993,1993_MICHIGAN,,,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410,932700,11704,132658,120049,116702,87447,973756,423081,1408541,,,,,135457,3104,43.63949742,1603610,82301,19.48469642,-24.154801,56048,82301
1993_MINNESOTA,MINNESOTA,1993,1993_MINNESOTA,,,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306,512196,6656,62345,63194,63105,54642,507979,233253,747888,,,,,61966,1434,43.21199442,793724,45050,17.61873474,-25.59325968,57799,45050
1993_MISSISSIPPI,MISSISSIPPI,1993,1993_MISSISSIPPI,,,1170109,174870,612301,382938,1167032,652571,318799,89766,87575,2197,37622,39236,39815,26156,319394,131112,452703,,,,,36423,1556,23.40809769,506668,27829,18.20647526,-5.201622427,38080,27829
1993_MISSOURI,MISSOURI,1993,1993_MISSOURI,,,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686,399553,13950,65679,66445,66371,50195,536039,241874,791863,,,,,65108,2281,28.54362122,859357,52984,16.21917937,-12.32444184,49219,52984
1993_MONTANA,MONTANA,1993,1993_MONTANA,,,813998,74386,445532,294080,833435,446245,261677,64200,49720,483,12021,12967,12834,10325,103488,46111,150082,,,,,11894,487,24.42299795,160011,10135,15.78796251,-8.63503544,45423,10135
1993_NEBRASKA,NEBRASKA,1993,1993_NEBRASKA,,,1625242,94308,509432,1021502,1642376,972575,424311,57564,141118,3577,21374,22391,22611,18578,178475,81671,263723,,,,,21873,793,27.58259773,282414,19323,14.61543239,-12.96716534,53210,19323
1993_NEVADA,NEVADA,1993,1993_NEVADA,,,1148268,52876,753277,342115,1265367,611914,360827,41799,195478,1237,19179,19305,17825,12749,153912,60727,215876,,,,,17839,433,41.19861432,222974,11953,18.65422906,-22.54438525,61457,11953
1993_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1993,1993_NEW HAMPSHIRE,,,1109743,34680,84342,990721,1091814,611158,322618,34802,42172,1292,8194,15630,14118,10635,126173,49098,176563,,,,,7994,222,36.00900901,181247,11654,15.55234254,-20.45666647,65147,11654
1993_NEW_JERSEY,NEW_JERSEY,1993,1993_NEW JERSEY,,,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775,342746,9225,90827,84767,79459,64402,685132,288263,982620,,,,,87427,2740,31.90766423,1130560,83057,13.61185692,-18.29580732,69498,83057
1993_NEW_MEXICO,NEW_MEXICO,1993,1993_NEW MEXICO,,,1217194,154018,897725,165451,1223185,587753,427793,62453,128202,1933,23723,24182,24899,16767,200631,87768,290332,,,,,23723,775,30.61032258,315668,17912,17.62326932,-12.98705326,45917,17912
1993_NEW_YORK,NEW_YORK,1993,1993_NEW YORK,,,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895,1625848,31687,205238,198259,188274,143055,1608489,743933,2384109,,,,,201674,9349,21.5717189,2689686,176375,15.24981432,-6.321904584,54392,176375
1993_NORTH_CAROLINA,NORTH_CAROLINA,1993,1993_NORTH CAROLINA,,,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822,480317,8469,93406,85989,86093,60856,705410,305060,1018939,,,,,89809,5290,16.97712665,1114083,66630,16.72044124,-0.256685411,49455,66630
1993_NORTH_DAKOTA,NORTH_DAKOTA,1993,1993_NORTH DAKOTA,,,580148,56254,243783,280111,588983,310940,156042,44647,41585,615,8752,9266,9329,8066,74760,35000,110375,,,,,8847,277,31.93862816,118734,7794,15.23402617,-16.70460198,48251,7794
1993_OHIO,OHIO,1993,1993_OHIO,,,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400,588386,17210,140778,136317,141534,111932,1127686,517122,1662018,,,,,138911,3330,41.71501502,1795199,106233,16.89869438,-24.81632064,53685,106233
1993_OKLAHOMA,OKLAHOMA,1993,1993_OKLAHOMA,,,1436505,99809,802783,533913,1428916,726475,457062,113582,113949,5456,44864,48242,46153,34744,389548,162511,557515,,,,,45010,1443,31.19196119,597096,38433,15.53602373,-15.65593746,45062,38433
